[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/502_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 295, LAST WRITE DURATION: 218, R/W DURATION RATIO: 1.35321
READ DURATION: 443, LAST WRITE DURATION: 218, R/W DURATION RATIO: 2.03211
READ DURATION: 494, LAST WRITE DURATION: 413, R/W DURATION RATIO: 1.19613
READ DURATION: 399, LAST WRITE DURATION: 480, R/W DURATION RATIO: 0.83125
READ DURATION: 313, LAST WRITE DURATION: 1520, R/W DURATION RATIO: 0.207011
READ DURATION: 297, LAST WRITE DURATION: 265, R/W DURATION RATIO: 1.12075
READ DURATION: 389, LAST WRITE DURATION: 354, R/W DURATION RATIO: 1.09887
READ DURATION: 298, LAST WRITE DURATION: 823, R/W DURATION RATIO: 0.36209
READ DURATION: 180, LAST WRITE DURATION: 296, R/W DURATION RATIO: 0.608108
READ DURATION: 278, LAST WRITE DURATION: 374, R/W DURATION RATIO: 0.743316
READ DURATION: 240, LAST WRITE DURATION: 258, R/W DURATION RATIO: 0.930233
READ DURATION: 287, LAST WRITE DURATION: 236, R/W DURATION RATIO: 1.2161
READ DURATION: 286, LAST WRITE DURATION: 282, R/W DURATION RATIO: 1.01418
READ DURATION: 740, LAST WRITE DURATION: 325, R/W DURATION RATIO: 2.27692
READ DURATION: 187, LAST WRITE DURATION: 130, R/W DURATION RATIO: 1.43846
READ DURATION: 174, LAST WRITE DURATION: 74, R/W DURATION RATIO: 2.35135
READ DURATION: 52, LAST WRITE DURATION: 122, R/W DURATION RATIO: 0.42623
READ DURATION: 95, LAST WRITE DURATION: 127, R/W DURATION RATIO: 0.748031
READ DURATION: 1, LAST WRITE DURATION: 171, R/W DURATION RATIO: 0.00584795
READ DURATION: 49, LAST WRITE DURATION: 197, R/W DURATION RATIO: 0.248731
READ DURATION: 412, LAST WRITE DURATION: 2014, R/W DURATION RATIO: 0.204568
READ DURATION: 66, LAST WRITE DURATION: 172, R/W DURATION RATIO: 0.383721
READ DURATION: 442, LAST WRITE DURATION: 327, R/W DURATION RATIO: 1.35168
READ DURATION: 84, LAST WRITE DURATION: 98, R/W DURATION RATIO: 0.857143
READ DURATION: 70, LAST WRITE DURATION: 128, R/W DURATION RATIO: 0.546875
READ DURATION: 41, LAST WRITE DURATION: 105, R/W DURATION RATIO: 0.390476
READ DURATION: 67, LAST WRITE DURATION: 109, R/W DURATION RATIO: 0.614679
READ DURATION: 335, LAST WRITE DURATION: 1202, R/W DURATION RATIO: 0.278702
READ DURATION: 340, LAST WRITE DURATION: 271, R/W DURATION RATIO: 1.25461
READ DURATION: 382, LAST WRITE DURATION: 342, R/W DURATION RATIO: 1.11696
READ DURATION: 316, LAST WRITE DURATION: 308, R/W DURATION RATIO: 1.02597
READ DURATION: 373, LAST WRITE DURATION: 298, R/W DURATION RATIO: 1.25168
READ DURATION: 328, LAST WRITE DURATION: 389, R/W DURATION RATIO: 0.843188
READ DURATION: 321, LAST WRITE DURATION: 334, R/W DURATION RATIO: 0.961078
READ DURATION: 399, LAST WRITE DURATION: 297, R/W DURATION RATIO: 1.34343
READ DURATION: 354, LAST WRITE DURATION: 315, R/W DURATION RATIO: 1.12381
READ DURATION: 342, LAST WRITE DURATION: 340, R/W DURATION RATIO: 1.00588
READ DURATION: 322, LAST WRITE DURATION: 368, R/W DURATION RATIO: 0.875
READ DURATION: 339, LAST WRITE DURATION: 302, R/W DURATION RATIO: 1.12252
READ DURATION: 762, LAST WRITE DURATION: 263, R/W DURATION RATIO: 2.89734
READ DURATION: 1672, LAST WRITE DURATION: 232, R/W DURATION RATIO: 7.2069
READ DURATION: 1299, LAST WRITE DURATION: 1753, R/W DURATION RATIO: 0.741015
READ DURATION: 652, LAST WRITE DURATION: 270, R/W DURATION RATIO: 2.41481
READ DURATION: 877, LAST WRITE DURATION: 388, R/W DURATION RATIO: 2.26031
READ DURATION: 977, LAST WRITE DURATION: 249, R/W DURATION RATIO: 3.92369
READ DURATION: 467, LAST WRITE DURATION: 319, R/W DURATION RATIO: 1.46395
READ DURATION: 290, LAST WRITE DURATION: 276, R/W DURATION RATIO: 1.05072
READ DURATION: 272, LAST WRITE DURATION: 282, R/W DURATION RATIO: 0.964539
READ DURATION: 222, LAST WRITE DURATION: 338, R/W DURATION RATIO: 0.656805
READ DURATION: 222, LAST WRITE DURATION: 402, R/W DURATION RATIO: 0.552239
READ DURATION: 240, LAST WRITE DURATION: 540, R/W DURATION RATIO: 0.444444
READ DURATION: 244, LAST WRITE DURATION: 562, R/W DURATION RATIO: 0.434164
READ DURATION: 248, LAST WRITE DURATION: 562, R/W DURATION RATIO: 0.441281
READ DURATION: 296, LAST WRITE DURATION: 316, R/W DURATION RATIO: 0.936709
READ DURATION: 320, LAST WRITE DURATION: 1767, R/W DURATION RATIO: 0.21164
READ DURATION: 326, LAST WRITE DURATION: 282, R/W DURATION RATIO: 1.15603
READ DURATION: 280, LAST WRITE DURATION: 266, R/W DURATION RATIO: 1.05263
READ DURATION: 288, LAST WRITE DURATION: 218, R/W DURATION RATIO: 1.3211
READ DURATION: 296, LAST WRITE DURATION: 288, R/W DURATION RATIO: 1.02778
READ DURATION: 288, LAST WRITE DURATION: 312, R/W DURATION RATIO: 0.923077
READ DURATION: 312, LAST WRITE DURATION: 280, R/W DURATION RATIO: 1.11429
READ DURATION: 326, LAST WRITE DURATION: 218, R/W DURATION RATIO: 1.49541
READ DURATION: 878, LAST WRITE DURATION: 218, R/W DURATION RATIO: 4.02752
READ DURATION: 158, LAST WRITE DURATION: 266, R/W DURATION RATIO: 0.593985
READ DURATION: 15, LAST WRITE DURATION: 227, R/W DURATION RATIO: 0.0660793
READ DURATION: 90, LAST WRITE DURATION: 138, R/W DURATION RATIO: 0.652174
READ DURATION: 1, LAST WRITE DURATION: 76, R/W DURATION RATIO: 0.0131579
READ DURATION: 57, LAST WRITE DURATION: 81, R/W DURATION RATIO: 0.703704
READ DURATION: 63, LAST WRITE DURATION: 101, R/W DURATION RATIO: 0.623762
READ DURATION: 84, LAST WRITE DURATION: 172, R/W DURATION RATIO: 0.488372
READ DURATION: 71, LAST WRITE DURATION: 115, R/W DURATION RATIO: 0.617391
READ DURATION: 28, LAST WRITE DURATION: 110, R/W DURATION RATIO: 0.254545
READ DURATION: 54, LAST WRITE DURATION: 166, R/W DURATION RATIO: 0.325301
READ DURATION: 66, LAST WRITE DURATION: 112, R/W DURATION RATIO: 0.589286
READ DURATION: 55, LAST WRITE DURATION: 103, R/W DURATION RATIO: 0.533981
READ DURATION: 64, LAST WRITE DURATION: 146, R/W DURATION RATIO: 0.438356
READ DURATION: 38, LAST WRITE DURATION: 124, R/W DURATION RATIO: 0.306452
READ DURATION: 86, LAST WRITE DURATION: 1447, R/W DURATION RATIO: 0.0594333
WAITED CYCLES: 10
