[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/523_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 8523, LAST WRITE DURATION: 208, R/W DURATION RATIO: 40.976
READ DURATION: 9944, LAST WRITE DURATION: 251, R/W DURATION RATIO: 39.6175
READ DURATION: 15879, LAST WRITE DURATION: 213, R/W DURATION RATIO: 74.5493
READ DURATION: 3840, LAST WRITE DURATION: 196, R/W DURATION RATIO: 19.5918
READ DURATION: 8165, LAST WRITE DURATION: 230, R/W DURATION RATIO: 35.5
READ DURATION: 10823, LAST WRITE DURATION: 297, R/W DURATION RATIO: 36.4411
READ DURATION: 235, LAST WRITE DURATION: 60, R/W DURATION RATIO: 3.91667
READ DURATION: 5443, LAST WRITE DURATION: 288, R/W DURATION RATIO: 18.8993
READ DURATION: 18404, LAST WRITE DURATION: 186, R/W DURATION RATIO: 98.9462
READ DURATION: 6002, LAST WRITE DURATION: 272, R/W DURATION RATIO: 22.0662
READ DURATION: 31732, LAST WRITE DURATION: 264, R/W DURATION RATIO: 120.197
READ DURATION: 14541, LAST WRITE DURATION: 273, R/W DURATION RATIO: 53.2637
READ DURATION: 51, LAST WRITE DURATION: 13, R/W DURATION RATIO: 3.92308
READ DURATION: 18136, LAST WRITE DURATION: 1119, R/W DURATION RATIO: 16.2073
READ DURATION: 24328, LAST WRITE DURATION: 286, R/W DURATION RATIO: 85.0629
READ DURATION: 2670, LAST WRITE DURATION: 195, R/W DURATION RATIO: 13.6923
READ DURATION: 2386, LAST WRITE DURATION: 236, R/W DURATION RATIO: 10.1102
READ DURATION: 3196, LAST WRITE DURATION: 320, R/W DURATION RATIO: 9.9875
READ DURATION: 147, LAST WRITE DURATION: 98, R/W DURATION RATIO: 1.5
READ DURATION: 3, LAST WRITE DURATION: 5, R/W DURATION RATIO: 0.6
READ DURATION: 3006, LAST WRITE DURATION: 294, R/W DURATION RATIO: 10.2245
READ DURATION: 33157, LAST WRITE DURATION: 280, R/W DURATION RATIO: 118.418
READ DURATION: 12864, LAST WRITE DURATION: 268, R/W DURATION RATIO: 48
READ DURATION: 10566, LAST WRITE DURATION: 278, R/W DURATION RATIO: 38.0072
READ DURATION: 50, LAST WRITE DURATION: 154, R/W DURATION RATIO: 0.324675
READ DURATION: 261, LAST WRITE DURATION: 143, R/W DURATION RATIO: 1.82517
READ DURATION: 10528, LAST WRITE DURATION: 220, R/W DURATION RATIO: 47.8545
READ DURATION: 308, LAST WRITE DURATION: 126, R/W DURATION RATIO: 2.44444
READ DURATION: 1, LAST WRITE DURATION: 14, R/W DURATION RATIO: 0.0714286
READ DURATION: 107, LAST WRITE DURATION: 199, R/W DURATION RATIO: 0.537688
READ DURATION: 41107, LAST WRITE DURATION: 258, R/W DURATION RATIO: 159.329
READ DURATION: 48117, LAST WRITE DURATION: 218, R/W DURATION RATIO: 220.72
READ DURATION: 56151, LAST WRITE DURATION: 203, R/W DURATION RATIO: 276.606
READ DURATION: 15683, LAST WRITE DURATION: 192, R/W DURATION RATIO: 81.6823
READ DURATION: 155793, LAST WRITE DURATION: 90, R/W DURATION RATIO: 1731.03
READ DURATION: 16057, LAST WRITE DURATION: 215, R/W DURATION RATIO: 74.6837
READ DURATION: 55787, LAST WRITE DURATION: 174, R/W DURATION RATIO: 320.615
READ DURATION: 15106, LAST WRITE DURATION: 216, R/W DURATION RATIO: 69.9352
READ DURATION: 35399, LAST WRITE DURATION: 262, R/W DURATION RATIO: 135.111
