[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/520_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 218, LAST WRITE DURATION: 338, R/W DURATION RATIO: 0.64497
READ DURATION: 1, LAST WRITE DURATION: 169, R/W DURATION RATIO: 0.00591716
WAITED CYCLES: 55
READ DURATION: 2015, LAST WRITE DURATION: 120, R/W DURATION RATIO: 16.7917
READ DURATION: 72, LAST WRITE DURATION: 82, R/W DURATION RATIO: 0.878049
READ DURATION: 1, LAST WRITE DURATION: 346, R/W DURATION RATIO: 0.00289017
WAITED CYCLES: 114
READ DURATION: 9, LAST WRITE DURATION: 1053, R/W DURATION RATIO: 0.00945378
WAITED CYCLES: 207
WAITED CYCLES: 127
WAITED CYCLES: 47
READ DURATION: 1, LAST WRITE DURATION: 1148, R/W DURATION RATIO: 0.00162338
READ DURATION: 1541, LAST WRITE DURATION: 854, R/W DURATION RATIO: 2.75179
READ DURATION: 395, LAST WRITE DURATION: 385, R/W DURATION RATIO: 1.02597
READ DURATION: 458, LAST WRITE DURATION: 259, R/W DURATION RATIO: 1.76834
READ DURATION: 452, LAST WRITE DURATION: 252, R/W DURATION RATIO: 1.79365
READ DURATION: 399, LAST WRITE DURATION: 235, R/W DURATION RATIO: 1.69787
READ DURATION: 1912, LAST WRITE DURATION: 252, R/W DURATION RATIO: 7.5873
READ DURATION: 490, LAST WRITE DURATION: 254, R/W DURATION RATIO: 1.92913
READ DURATION: 581, LAST WRITE DURATION: 272, R/W DURATION RATIO: 2.13603
READ DURATION: 1048, LAST WRITE DURATION: 246, R/W DURATION RATIO: 4.26016
READ DURATION: 530, LAST WRITE DURATION: 335, R/W DURATION RATIO: 1.58209
READ DURATION: 602, LAST WRITE DURATION: 400, R/W DURATION RATIO: 1.505
READ DURATION: 895, LAST WRITE DURATION: 295, R/W DURATION RATIO: 3.0339
READ DURATION: 887, LAST WRITE DURATION: 255, R/W DURATION RATIO: 3.47843
READ DURATION: 516, LAST WRITE DURATION: 318, R/W DURATION RATIO: 1.62264
READ DURATION: 377, LAST WRITE DURATION: 271, R/W DURATION RATIO: 1.39114
READ DURATION: 426, LAST WRITE DURATION: 300, R/W DURATION RATIO: 1.42
READ DURATION: 479, LAST WRITE DURATION: 201, R/W DURATION RATIO: 2.38308
READ DURATION: 1796, LAST WRITE DURATION: 317, R/W DURATION RATIO: 5.66562
READ DURATION: 353, LAST WRITE DURATION: 267, R/W DURATION RATIO: 1.3221
READ DURATION: 458, LAST WRITE DURATION: 278, R/W DURATION RATIO: 1.64748
READ DURATION: 348, LAST WRITE DURATION: 246, R/W DURATION RATIO: 1.41463
READ DURATION: 522, LAST WRITE DURATION: 308, R/W DURATION RATIO: 1.69481
READ DURATION: 367, LAST WRITE DURATION: 247, R/W DURATION RATIO: 1.48583
