[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/505_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 67, LAST WRITE DURATION: 317, R/W DURATION RATIO: 0.211356
WAITED CYCLES: 123
READ DURATION: 28187, LAST WRITE DURATION: 2366, R/W DURATION RATIO: 11.9843
READ DURATION: 250, LAST WRITE DURATION: 256, R/W DURATION RATIO: 0.976562
READ DURATION: 248, LAST WRITE DURATION: 408, R/W DURATION RATIO: 0.607843
READ DURATION: 200, LAST WRITE DURATION: 552, R/W DURATION RATIO: 0.362319
WAITED CYCLES: 131
READ DURATION: 367, LAST WRITE DURATION: 672, R/W DURATION RATIO: 0.546131
WAITED CYCLES: 36
READ DURATION: 311, LAST WRITE DURATION: 367, R/W DURATION RATIO: 0.847411
READ DURATION: 361, LAST WRITE DURATION: 404, R/W DURATION RATIO: 0.893564
READ DURATION: 380, LAST WRITE DURATION: 350, R/W DURATION RATIO: 1.08571
READ DURATION: 1985, LAST WRITE DURATION: 561, R/W DURATION RATIO: 3.53832
READ DURATION: 298, LAST WRITE DURATION: 530, R/W DURATION RATIO: 0.562264
WAITED CYCLES: 20
READ DURATION: 461, LAST WRITE DURATION: 396, R/W DURATION RATIO: 1.16414
READ DURATION: 356, LAST WRITE DURATION: 310, R/W DURATION RATIO: 1.14839
READ DURATION: 322, LAST WRITE DURATION: 348, R/W DURATION RATIO: 0.925287
READ DURATION: 366, LAST WRITE DURATION: 262, R/W DURATION RATIO: 1.39695
READ DURATION: 446, LAST WRITE DURATION: 380, R/W DURATION RATIO: 1.17368
READ DURATION: 402, LAST WRITE DURATION: 226, R/W DURATION RATIO: 1.77876
READ DURATION: 466, LAST WRITE DURATION: 230, R/W DURATION RATIO: 2.02609
READ DURATION: 400, LAST WRITE DURATION: 236, R/W DURATION RATIO: 1.69492
READ DURATION: 338, LAST WRITE DURATION: 298, R/W DURATION RATIO: 1.13423
READ DURATION: 400, LAST WRITE DURATION: 258, R/W DURATION RATIO: 1.55039
READ DURATION: 384, LAST WRITE DURATION: 228, R/W DURATION RATIO: 1.68421
READ DURATION: 360, LAST WRITE DURATION: 242, R/W DURATION RATIO: 1.4876
READ DURATION: 496, LAST WRITE DURATION: 282, R/W DURATION RATIO: 1.75887
READ DURATION: 344, LAST WRITE DURATION: 266, R/W DURATION RATIO: 1.29323
READ DURATION: 1811, LAST WRITE DURATION: 274, R/W DURATION RATIO: 6.60949
READ DURATION: 358, LAST WRITE DURATION: 388, R/W DURATION RATIO: 0.92268
READ DURATION: 416, LAST WRITE DURATION: 282, R/W DURATION RATIO: 1.47518
READ DURATION: 352, LAST WRITE DURATION: 218, R/W DURATION RATIO: 1.61468
READ DURATION: 1165, LAST WRITE DURATION: 252, R/W DURATION RATIO: 4.62302
READ DURATION: 1012, LAST WRITE DURATION: 228, R/W DURATION RATIO: 4.4386
READ DURATION: 670, LAST WRITE DURATION: 254, R/W DURATION RATIO: 2.6378
READ DURATION: 790, LAST WRITE DURATION: 518, R/W DURATION RATIO: 1.5251
READ DURATION: 886, LAST WRITE DURATION: 350, R/W DURATION RATIO: 2.53143
READ DURATION: 1002, LAST WRITE DURATION: 428, R/W DURATION RATIO: 2.34112
READ DURATION: 2886, LAST WRITE DURATION: 520, R/W DURATION RATIO: 5.55
READ DURATION: 946, LAST WRITE DURATION: 236, R/W DURATION RATIO: 4.00847
READ DURATION: 2193, LAST WRITE DURATION: 268, R/W DURATION RATIO: 8.18284
READ DURATION: 3148, LAST WRITE DURATION: 228, R/W DURATION RATIO: 13.807
READ DURATION: 1756, LAST WRITE DURATION: 228, R/W DURATION RATIO: 7.70175
READ DURATION: 2881, LAST WRITE DURATION: 260, R/W DURATION RATIO: 11.0808
READ DURATION: 2796, LAST WRITE DURATION: 292, R/W DURATION RATIO: 9.57534
READ DURATION: 3831, LAST WRITE DURATION: 220, R/W DURATION RATIO: 17.4136
READ DURATION: 2936, LAST WRITE DURATION: 236, R/W DURATION RATIO: 12.4407
READ DURATION: 3587, LAST WRITE DURATION: 224, R/W DURATION RATIO: 16.0134
READ DURATION: 1602, LAST WRITE DURATION: 218, R/W DURATION RATIO: 7.34862
READ DURATION: 3015, LAST WRITE DURATION: 306, R/W DURATION RATIO: 9.85294
READ DURATION: 6141, LAST WRITE DURATION: 234, R/W DURATION RATIO: 26.2436
READ DURATION: 338, LAST WRITE DURATION: 236, R/W DURATION RATIO: 1.4322
READ DURATION: 446, LAST WRITE DURATION: 263, R/W DURATION RATIO: 1.69582
READ DURATION: 389, LAST WRITE DURATION: 253, R/W DURATION RATIO: 1.53755
READ DURATION: 319, LAST WRITE DURATION: 226, R/W DURATION RATIO: 1.4115
READ DURATION: 313, LAST WRITE DURATION: 298, R/W DURATION RATIO: 1.05034
READ DURATION: 333, LAST WRITE DURATION: 291, R/W DURATION RATIO: 1.14433
READ DURATION: 412, LAST WRITE DURATION: 263, R/W DURATION RATIO: 1.56654
READ DURATION: 312, LAST WRITE DURATION: 216, R/W DURATION RATIO: 1.44444
READ DURATION: 316, LAST WRITE DURATION: 269, R/W DURATION RATIO: 1.17472
READ DURATION: 336, LAST WRITE DURATION: 254, R/W DURATION RATIO: 1.32283
READ DURATION: 403, LAST WRITE DURATION: 279, R/W DURATION RATIO: 1.44444
