[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/526_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 1232, LAST WRITE DURATION: 788, R/W DURATION RATIO: 1.56345
READ DURATION: 438, LAST WRITE DURATION: 2827, R/W DURATION RATIO: 0.154935
READ DURATION: 456, LAST WRITE DURATION: 404, R/W DURATION RATIO: 1.12871
READ DURATION: 616, LAST WRITE DURATION: 450, R/W DURATION RATIO: 1.36889
READ DURATION: 404, LAST WRITE DURATION: 650, R/W DURATION RATIO: 0.621538
READ DURATION: 656, LAST WRITE DURATION: 658, R/W DURATION RATIO: 0.99696
READ DURATION: 574, LAST WRITE DURATION: 476, R/W DURATION RATIO: 1.20588
READ DURATION: 630, LAST WRITE DURATION: 606, R/W DURATION RATIO: 1.0396
READ DURATION: 672, LAST WRITE DURATION: 850, R/W DURATION RATIO: 0.790588
READ DURATION: 2083, LAST WRITE DURATION: 1264, R/W DURATION RATIO: 1.64794
READ DURATION: 688, LAST WRITE DURATION: 636, R/W DURATION RATIO: 1.08176
READ DURATION: 632, LAST WRITE DURATION: 1170, R/W DURATION RATIO: 0.540171
READ DURATION: 608, LAST WRITE DURATION: 1168, R/W DURATION RATIO: 0.520548
READ DURATION: 326, LAST WRITE DURATION: 700, R/W DURATION RATIO: 0.465714
READ DURATION: 328, LAST WRITE DURATION: 442, R/W DURATION RATIO: 0.742081
READ DURATION: 372, LAST WRITE DURATION: 632, R/W DURATION RATIO: 0.588608
READ DURATION: 381, LAST WRITE DURATION: 632, R/W DURATION RATIO: 0.602848
READ DURATION: 408, LAST WRITE DURATION: 387, R/W DURATION RATIO: 1.05426
READ DURATION: 466, LAST WRITE DURATION: 332, R/W DURATION RATIO: 1.40361
READ DURATION: 372, LAST WRITE DURATION: 2001, R/W DURATION RATIO: 0.185907
READ DURATION: 369, LAST WRITE DURATION: 590, R/W DURATION RATIO: 0.625424
READ DURATION: 396, LAST WRITE DURATION: 540, R/W DURATION RATIO: 0.733333
READ DURATION: 400, LAST WRITE DURATION: 540, R/W DURATION RATIO: 0.740741
READ DURATION: 348, LAST WRITE DURATION: 375, R/W DURATION RATIO: 0.928
READ DURATION: 425, LAST WRITE DURATION: 418, R/W DURATION RATIO: 1.01675
READ DURATION: 405, LAST WRITE DURATION: 464, R/W DURATION RATIO: 0.872845
READ DURATION: 376, LAST WRITE DURATION: 468, R/W DURATION RATIO: 0.803419
READ DURATION: 2288, LAST WRITE DURATION: 506, R/W DURATION RATIO: 4.52174
READ DURATION: 7342, LAST WRITE DURATION: 554, R/W DURATION RATIO: 13.2527
READ DURATION: 422, LAST WRITE DURATION: 383, R/W DURATION RATIO: 1.10183
READ DURATION: 434, LAST WRITE DURATION: 386, R/W DURATION RATIO: 1.12435
READ DURATION: 400, LAST WRITE DURATION: 466, R/W DURATION RATIO: 0.858369
READ DURATION: 398, LAST WRITE DURATION: 594, R/W DURATION RATIO: 0.670034
READ DURATION: 408, LAST WRITE DURATION: 586, R/W DURATION RATIO: 0.696246
READ DURATION: 462, LAST WRITE DURATION: 498, R/W DURATION RATIO: 0.927711
READ DURATION: 1819, LAST WRITE DURATION: 364, R/W DURATION RATIO: 4.99725
READ DURATION: 400, LAST WRITE DURATION: 596, R/W DURATION RATIO: 0.671141
READ DURATION: 416, LAST WRITE DURATION: 560, R/W DURATION RATIO: 0.742857
READ DURATION: 400, LAST WRITE DURATION: 592, R/W DURATION RATIO: 0.675676
READ DURATION: 480, LAST WRITE DURATION: 592, R/W DURATION RATIO: 0.810811
