[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/549_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 541, LAST WRITE DURATION: 313, R/W DURATION RATIO: 1.72843
READ DURATION: 1978, LAST WRITE DURATION: 341, R/W DURATION RATIO: 5.80059
READ DURATION: 622, LAST WRITE DURATION: 372, R/W DURATION RATIO: 1.67204
READ DURATION: 481, LAST WRITE DURATION: 382, R/W DURATION RATIO: 1.25916
READ DURATION: 538, LAST WRITE DURATION: 366, R/W DURATION RATIO: 1.46995
READ DURATION: 654, LAST WRITE DURATION: 332, R/W DURATION RATIO: 1.96988
READ DURATION: 595, LAST WRITE DURATION: 332, R/W DURATION RATIO: 1.79217
READ DURATION: 640, LAST WRITE DURATION: 339, R/W DURATION RATIO: 1.88791
READ DURATION: 1081, LAST WRITE DURATION: 364, R/W DURATION RATIO: 2.96978
READ DURATION: 1158, LAST WRITE DURATION: 364, R/W DURATION RATIO: 3.18132
READ DURATION: 1272, LAST WRITE DURATION: 328, R/W DURATION RATIO: 3.87805
READ DURATION: 2515, LAST WRITE DURATION: 442, R/W DURATION RATIO: 5.69005
READ DURATION: 1256, LAST WRITE DURATION: 338, R/W DURATION RATIO: 3.71598
READ DURATION: 1176, LAST WRITE DURATION: 378, R/W DURATION RATIO: 3.11111
READ DURATION: 1174, LAST WRITE DURATION: 322, R/W DURATION RATIO: 3.64596
READ DURATION: 1308, LAST WRITE DURATION: 333, R/W DURATION RATIO: 3.92793
READ DURATION: 870, LAST WRITE DURATION: 322, R/W DURATION RATIO: 2.70186
READ DURATION: 868, LAST WRITE DURATION: 322, R/W DURATION RATIO: 2.69565
READ DURATION: 2375, LAST WRITE DURATION: 322, R/W DURATION RATIO: 7.37578
READ DURATION: 1482, LAST WRITE DURATION: 376, R/W DURATION RATIO: 3.94149
READ DURATION: 882, LAST WRITE DURATION: 356, R/W DURATION RATIO: 2.47753
READ DURATION: 1172, LAST WRITE DURATION: 356, R/W DURATION RATIO: 3.29213
READ DURATION: 1106, LAST WRITE DURATION: 322, R/W DURATION RATIO: 3.43478
READ DURATION: 1002, LAST WRITE DURATION: 322, R/W DURATION RATIO: 3.1118
READ DURATION: 788, LAST WRITE DURATION: 322, R/W DURATION RATIO: 2.4472
READ DURATION: 511, LAST WRITE DURATION: 320, R/W DURATION RATIO: 1.59688
READ DURATION: 536, LAST WRITE DURATION: 356, R/W DURATION RATIO: 1.50562
READ DURATION: 2006, LAST WRITE DURATION: 416, R/W DURATION RATIO: 4.82212
READ DURATION: 554, LAST WRITE DURATION: 356, R/W DURATION RATIO: 1.55618
READ DURATION: 632, LAST WRITE DURATION: 391, R/W DURATION RATIO: 1.61637
READ DURATION: 626, LAST WRITE DURATION: 385, R/W DURATION RATIO: 1.62597
READ DURATION: 556, LAST WRITE DURATION: 340, R/W DURATION RATIO: 1.63529
READ DURATION: 593, LAST WRITE DURATION: 338, R/W DURATION RATIO: 1.75444
READ DURATION: 566, LAST WRITE DURATION: 332, R/W DURATION RATIO: 1.70482
READ DURATION: 928, LAST WRITE DURATION: 344, R/W DURATION RATIO: 2.69767
READ DURATION: 808, LAST WRITE DURATION: 422, R/W DURATION RATIO: 1.91469
READ DURATION: 860, LAST WRITE DURATION: 340, R/W DURATION RATIO: 2.52941
READ DURATION: 840, LAST WRITE DURATION: 404, R/W DURATION RATIO: 2.07921
READ DURATION: 956, LAST WRITE DURATION: 1839, R/W DURATION RATIO: 0.519848
READ DURATION: 890, LAST WRITE DURATION: 552, R/W DURATION RATIO: 1.61232
READ DURATION: 846, LAST WRITE DURATION: 524, R/W DURATION RATIO: 1.6145
READ DURATION: 956, LAST WRITE DURATION: 426, R/W DURATION RATIO: 2.24413
READ DURATION: 882, LAST WRITE DURATION: 334, R/W DURATION RATIO: 2.64072
READ DURATION: 858, LAST WRITE DURATION: 322, R/W DURATION RATIO: 2.6646
READ DURATION: 788, LAST WRITE DURATION: 322, R/W DURATION RATIO: 2.4472
READ DURATION: 689, LAST WRITE DURATION: 364, R/W DURATION RATIO: 1.89286
READ DURATION: 628, LAST WRITE DURATION: 332, R/W DURATION RATIO: 1.89157
READ DURATION: 848, LAST WRITE DURATION: 1775, R/W DURATION RATIO: 0.477746
READ DURATION: 770, LAST WRITE DURATION: 322, R/W DURATION RATIO: 2.3913
READ DURATION: 786, LAST WRITE DURATION: 364, R/W DURATION RATIO: 2.15934
