[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/523_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 12595, LAST WRITE DURATION: 364, R/W DURATION RATIO: 34.6016
READ DURATION: 21724, LAST WRITE DURATION: 416, R/W DURATION RATIO: 52.2212
READ DURATION: 8763, LAST WRITE DURATION: 338, R/W DURATION RATIO: 25.926
READ DURATION: 14055, LAST WRITE DURATION: 421, R/W DURATION RATIO: 33.3848
READ DURATION: 123, LAST WRITE DURATION: 200, R/W DURATION RATIO: 0.615
READ DURATION: 10432, LAST WRITE DURATION: 424, R/W DURATION RATIO: 24.6038
READ DURATION: 18857, LAST WRITE DURATION: 363, R/W DURATION RATIO: 51.9477
READ DURATION: 46812, LAST WRITE DURATION: 404, R/W DURATION RATIO: 115.871
READ DURATION: 565, LAST WRITE DURATION: 417, R/W DURATION RATIO: 1.35492
READ DURATION: 18136, LAST WRITE DURATION: 921, R/W DURATION RATIO: 19.6916
READ DURATION: 25667, LAST WRITE DURATION: 426, R/W DURATION RATIO: 60.2512
READ DURATION: 3333, LAST WRITE DURATION: 346, R/W DURATION RATIO: 9.63295
READ DURATION: 3403, LAST WRITE DURATION: 412, R/W DURATION RATIO: 8.25971
READ DURATION: 338, LAST WRITE DURATION: 286, R/W DURATION RATIO: 1.18182
READ DURATION: 4315, LAST WRITE DURATION: 390, R/W DURATION RATIO: 11.0641
READ DURATION: 43515, LAST WRITE DURATION: 372, R/W DURATION RATIO: 116.976
READ DURATION: 11546, LAST WRITE DURATION: 412, R/W DURATION RATIO: 28.0243
READ DURATION: 52, LAST WRITE DURATION: 98, R/W DURATION RATIO: 0.530612
READ DURATION: 259, LAST WRITE DURATION: 94, R/W DURATION RATIO: 2.75532
READ DURATION: 10460, LAST WRITE DURATION: 400, R/W DURATION RATIO: 26.15
READ DURATION: 608, LAST WRITE DURATION: 258, R/W DURATION RATIO: 2.35659
READ DURATION: 107, LAST WRITE DURATION: 183, R/W DURATION RATIO: 0.584699
READ DURATION: 73357, LAST WRITE DURATION: 346, R/W DURATION RATIO: 212.014
READ DURATION: 63439, LAST WRITE DURATION: 333, R/W DURATION RATIO: 190.508
READ DURATION: 25769, LAST WRITE DURATION: 327, R/W DURATION RATIO: 78.8043
READ DURATION: 162443, LAST WRITE DURATION: 191, R/W DURATION RATIO: 850.487
READ DURATION: 64936, LAST WRITE DURATION: 345, R/W DURATION RATIO: 188.22
READ DURATION: 32670, LAST WRITE DURATION: 385, R/W DURATION RATIO: 84.8571
READ DURATION: 106065, LAST WRITE DURATION: 388, R/W DURATION RATIO: 273.363
READ DURATION: 73097, LAST WRITE DURATION: 386, R/W DURATION RATIO: 189.37
READ DURATION: 68675, LAST WRITE DURATION: 396, R/W DURATION RATIO: 173.422
READ DURATION: 89731, LAST WRITE DURATION: 341, R/W DURATION RATIO: 263.141
READ DURATION: 166, LAST WRITE DURATION: 254, R/W DURATION RATIO: 0.653543
READ DURATION: 108, LAST WRITE DURATION: 168, R/W DURATION RATIO: 0.642857
READ DURATION: 50042, LAST WRITE DURATION: 342, R/W DURATION RATIO: 146.322
READ DURATION: 99492, LAST WRITE DURATION: 440, R/W DURATION RATIO: 226.118
READ DURATION: 25737, LAST WRITE DURATION: 365, R/W DURATION RATIO: 70.5123
READ DURATION: 164, LAST WRITE DURATION: 97, R/W DURATION RATIO: 1.69072
READ DURATION: 1, LAST WRITE DURATION: 126, R/W DURATION RATIO: 0.00793651
READ DURATION: 1, LAST WRITE DURATION: 256, R/W DURATION RATIO: 0.00390625
READ DURATION: 30464, LAST WRITE DURATION: 369, R/W DURATION RATIO: 82.5583
READ DURATION: 3774, LAST WRITE DURATION: 480, R/W DURATION RATIO: 7.8625
READ DURATION: 36893, LAST WRITE DURATION: 476, R/W DURATION RATIO: 77.5063
READ DURATION: 89703, LAST WRITE DURATION: 410, R/W DURATION RATIO: 218.788
READ DURATION: 18858, LAST WRITE DURATION: 336, R/W DURATION RATIO: 56.125
READ DURATION: 44410, LAST WRITE DURATION: 360, R/W DURATION RATIO: 123.361
READ DURATION: 16704, LAST WRITE DURATION: 542, R/W DURATION RATIO: 30.8192
READ DURATION: 124248, LAST WRITE DURATION: 550, R/W DURATION RATIO: 225.905
READ DURATION: 14527, LAST WRITE DURATION: 397, R/W DURATION RATIO: 36.5919
READ DURATION: 52913, LAST WRITE DURATION: 502, R/W DURATION RATIO: 105.404
READ DURATION: 1050, LAST WRITE DURATION: 259, R/W DURATION RATIO: 4.05405
READ DURATION: 46412, LAST WRITE DURATION: 338, R/W DURATION RATIO: 137.314
READ DURATION: 124099, LAST WRITE DURATION: 365, R/W DURATION RATIO: 339.997
READ DURATION: 79557, LAST WRITE DURATION: 400, R/W DURATION RATIO: 198.893
READ DURATION: 123777, LAST WRITE DURATION: 416, R/W DURATION RATIO: 297.541
READ DURATION: 14268, LAST WRITE DURATION: 384, R/W DURATION RATIO: 37.1562
READ DURATION: 106, LAST WRITE DURATION: 118, R/W DURATION RATIO: 0.898305
READ DURATION: 42125, LAST WRITE DURATION: 360, R/W DURATION RATIO: 117.014
READ DURATION: 42453, LAST WRITE DURATION: 364, R/W DURATION RATIO: 116.629
READ DURATION: 51, LAST WRITE DURATION: 210, R/W DURATION RATIO: 0.242857
READ DURATION: 22590, LAST WRITE DURATION: 350, R/W DURATION RATIO: 64.5429
READ DURATION: 68269, LAST WRITE DURATION: 348, R/W DURATION RATIO: 196.175
READ DURATION: 56893, LAST WRITE DURATION: 411, R/W DURATION RATIO: 138.426
READ DURATION: 37179, LAST WRITE DURATION: 550, R/W DURATION RATIO: 67.5982
READ DURATION: 53090, LAST WRITE DURATION: 386, R/W DURATION RATIO: 137.539
READ DURATION: 79150, LAST WRITE DURATION: 564, R/W DURATION RATIO: 140.337
READ DURATION: 103396, LAST WRITE DURATION: 334, R/W DURATION RATIO: 309.569
READ DURATION: 136708, LAST WRITE DURATION: 344, R/W DURATION RATIO: 397.407
READ DURATION: 29915, LAST WRITE DURATION: 381, R/W DURATION RATIO: 78.5171
READ DURATION: 37071, LAST WRITE DURATION: 460, R/W DURATION RATIO: 80.5891
READ DURATION: 43019, LAST WRITE DURATION: 371, R/W DURATION RATIO: 115.954
READ DURATION: 26506, LAST WRITE DURATION: 375, R/W DURATION RATIO: 70.6827
READ DURATION: 44061, LAST WRITE DURATION: 338, R/W DURATION RATIO: 130.358
READ DURATION: 47947, LAST WRITE DURATION: 387, R/W DURATION RATIO: 123.894
READ DURATION: 275689, LAST WRITE DURATION: 502, R/W DURATION RATIO: 549.181
READ DURATION: 2498653, LAST WRITE DURATION: 547, R/W DURATION RATIO: 4567.92
READ DURATION: 104, LAST WRITE DURATION: 372, R/W DURATION RATIO: 0.27957
READ DURATION: 69, LAST WRITE DURATION: 882, R/W DURATION RATIO: 0.0782313
READ DURATION: 634, LAST WRITE DURATION: 1543, R/W DURATION RATIO: 0.410888
READ DURATION: 136, LAST WRITE DURATION: 130, R/W DURATION RATIO: 1.04615
READ DURATION: 1, LAST WRITE DURATION: 461, R/W DURATION RATIO: 0.0021692
READ DURATION: 80, LAST WRITE DURATION: 294, R/W DURATION RATIO: 0.272109
READ DURATION: 50, LAST WRITE DURATION: 153, R/W DURATION RATIO: 0.326797
READ DURATION: 79, LAST WRITE DURATION: 125, R/W DURATION RATIO: 0.632
READ DURATION: 113, LAST WRITE DURATION: 134, R/W DURATION RATIO: 0.843284
READ DURATION: 1, LAST WRITE DURATION: 367, R/W DURATION RATIO: 0.0027248
READ DURATION: 643, LAST WRITE DURATION: 1281, R/W DURATION RATIO: 0.501952
READ DURATION: 866, LAST WRITE DURATION: 1222, R/W DURATION RATIO: 0.708674
READ DURATION: 76, LAST WRITE DURATION: 580, R/W DURATION RATIO: 0.131034
READ DURATION: 714, LAST WRITE DURATION: 2436, R/W DURATION RATIO: 0.293103
READ DURATION: 452, LAST WRITE DURATION: 541, R/W DURATION RATIO: 0.83549
READ DURATION: 536, LAST WRITE DURATION: 1385, R/W DURATION RATIO: 0.387004
READ DURATION: 402, LAST WRITE DURATION: 839, R/W DURATION RATIO: 0.479142
READ DURATION: 402, LAST WRITE DURATION: 1158, R/W DURATION RATIO: 0.34715
READ DURATION: 1, LAST WRITE DURATION: 308, R/W DURATION RATIO: 0.00324675
READ DURATION: 10, LAST WRITE DURATION: 188, R/W DURATION RATIO: 0.0531915
READ DURATION: 89, LAST WRITE DURATION: 308, R/W DURATION RATIO: 0.288961
