[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/505_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 67, LAST WRITE DURATION: 317, R/W DURATION RATIO: 0.211356
READ DURATION: 28187, LAST WRITE DURATION: 2366, R/W DURATION RATIO: 11.9134
READ DURATION: 364, LAST WRITE DURATION: 400, R/W DURATION RATIO: 0.91
READ DURATION: 346, LAST WRITE DURATION: 884, R/W DURATION RATIO: 0.391403
READ DURATION: 555, LAST WRITE DURATION: 886, R/W DURATION RATIO: 0.626411
READ DURATION: 627, LAST WRITE DURATION: 457, R/W DURATION RATIO: 1.37199
READ DURATION: 2217, LAST WRITE DURATION: 879, R/W DURATION RATIO: 2.52218
READ DURATION: 528, LAST WRITE DURATION: 842, R/W DURATION RATIO: 0.627078
READ DURATION: 564, LAST WRITE DURATION: 616, R/W DURATION RATIO: 0.915584
READ DURATION: 380, LAST WRITE DURATION: 508, R/W DURATION RATIO: 0.748031
READ DURATION: 562, LAST WRITE DURATION: 783, R/W DURATION RATIO: 0.717752
READ DURATION: 622, LAST WRITE DURATION: 506, R/W DURATION RATIO: 1.22925
READ DURATION: 586, LAST WRITE DURATION: 342, R/W DURATION RATIO: 1.71345
READ DURATION: 546, LAST WRITE DURATION: 426, R/W DURATION RATIO: 1.28169
READ DURATION: 554, LAST WRITE DURATION: 530, R/W DURATION RATIO: 1.04528
READ DURATION: 550, LAST WRITE DURATION: 378, R/W DURATION RATIO: 1.45503
READ DURATION: 2009, LAST WRITE DURATION: 618, R/W DURATION RATIO: 3.25081
READ DURATION: 520, LAST WRITE DURATION: 412, R/W DURATION RATIO: 1.26214
READ DURATION: 520, LAST WRITE DURATION: 754, R/W DURATION RATIO: 0.689655
READ DURATION: 536, LAST WRITE DURATION: 444, R/W DURATION RATIO: 1.20721
READ DURATION: 1659, LAST WRITE DURATION: 348, R/W DURATION RATIO: 4.76724
READ DURATION: 1106, LAST WRITE DURATION: 312, R/W DURATION RATIO: 3.54487
READ DURATION: 1024, LAST WRITE DURATION: 788, R/W DURATION RATIO: 1.29949
READ DURATION: 1360, LAST WRITE DURATION: 566, R/W DURATION RATIO: 2.40283
READ DURATION: 2145, LAST WRITE DURATION: 2099, R/W DURATION RATIO: 1.02192
READ DURATION: 1784, LAST WRITE DURATION: 348, R/W DURATION RATIO: 5.12644
READ DURATION: 4320, LAST WRITE DURATION: 476, R/W DURATION RATIO: 9.07563
READ DURATION: 3781, LAST WRITE DURATION: 396, R/W DURATION RATIO: 9.54798
READ DURATION: 3580, LAST WRITE DURATION: 518, R/W DURATION RATIO: 6.9112
READ DURATION: 5177, LAST WRITE DURATION: 432, R/W DURATION RATIO: 11.9838
READ DURATION: 5052, LAST WRITE DURATION: 340, R/W DURATION RATIO: 14.8588
READ DURATION: 3278, LAST WRITE DURATION: 380, R/W DURATION RATIO: 8.62632
READ DURATION: 7502, LAST WRITE DURATION: 392, R/W DURATION RATIO: 19.1378
READ DURATION: 549, LAST WRITE DURATION: 300, R/W DURATION RATIO: 1.83
READ DURATION: 512, LAST WRITE DURATION: 398, R/W DURATION RATIO: 1.28643
READ DURATION: 512, LAST WRITE DURATION: 374, R/W DURATION RATIO: 1.36898
READ DURATION: 483, LAST WRITE DURATION: 432, R/W DURATION RATIO: 1.11806
READ DURATION: 516, LAST WRITE DURATION: 340, R/W DURATION RATIO: 1.51765
READ DURATION: 475, LAST WRITE DURATION: 374, R/W DURATION RATIO: 1.27005
READ DURATION: 532, LAST WRITE DURATION: 375, R/W DURATION RATIO: 1.41867
READ DURATION: 559, LAST WRITE DURATION: 373, R/W DURATION RATIO: 1.49866
READ DURATION: 565, LAST WRITE DURATION: 436, R/W DURATION RATIO: 1.29587
READ DURATION: 791, LAST WRITE DURATION: 1874, R/W DURATION RATIO: 0.422092
READ DURATION: 679, LAST WRITE DURATION: 360, R/W DURATION RATIO: 1.88611
READ DURATION: 621, LAST WRITE DURATION: 314, R/W DURATION RATIO: 1.97771
READ DURATION: 580, LAST WRITE DURATION: 356, R/W DURATION RATIO: 1.62921
READ DURATION: 495, LAST WRITE DURATION: 330, R/W DURATION RATIO: 1.5
READ DURATION: 582, LAST WRITE DURATION: 330, R/W DURATION RATIO: 1.76364
READ DURATION: 534, LAST WRITE DURATION: 322, R/W DURATION RATIO: 1.65839
READ DURATION: 620, LAST WRITE DURATION: 425, R/W DURATION RATIO: 1.45882
READ DURATION: 977, LAST WRITE DURATION: 360, R/W DURATION RATIO: 2.71389
READ DURATION: 1246, LAST WRITE DURATION: 390, R/W DURATION RATIO: 3.19487
READ DURATION: 4943, LAST WRITE DURATION: 384, R/W DURATION RATIO: 12.8724
READ DURATION: 2166, LAST WRITE DURATION: 564, R/W DURATION RATIO: 3.84043
READ DURATION: 517, LAST WRITE DURATION: 348, R/W DURATION RATIO: 1.48563
READ DURATION: 618, LAST WRITE DURATION: 380, R/W DURATION RATIO: 1.62632
READ DURATION: 612, LAST WRITE DURATION: 399, R/W DURATION RATIO: 1.53383
READ DURATION: 548, LAST WRITE DURATION: 353, R/W DURATION RATIO: 1.55241
READ DURATION: 588, LAST WRITE DURATION: 307, R/W DURATION RATIO: 1.91531
READ DURATION: 538, LAST WRITE DURATION: 1831, R/W DURATION RATIO: 0.293829
READ DURATION: 578, LAST WRITE DURATION: 332, R/W DURATION RATIO: 1.74096
READ DURATION: 575, LAST WRITE DURATION: 397, R/W DURATION RATIO: 1.44836
READ DURATION: 1474, LAST WRITE DURATION: 409, R/W DURATION RATIO: 3.60391
READ DURATION: 1772, LAST WRITE DURATION: 378, R/W DURATION RATIO: 4.68783
READ DURATION: 5795, LAST WRITE DURATION: 362, R/W DURATION RATIO: 16.0083
READ DURATION: 804, LAST WRITE DURATION: 386, R/W DURATION RATIO: 2.0829
READ DURATION: 1612, LAST WRITE DURATION: 330, R/W DURATION RATIO: 4.88485
READ DURATION: 2050, LAST WRITE DURATION: 332, R/W DURATION RATIO: 6.1747
READ DURATION: 2640, LAST WRITE DURATION: 362, R/W DURATION RATIO: 7.29282
READ DURATION: 3732, LAST WRITE DURATION: 428, R/W DURATION RATIO: 8.71963
READ DURATION: 593, LAST WRITE DURATION: 327, R/W DURATION RATIO: 1.81346
READ DURATION: 784, LAST WRITE DURATION: 340, R/W DURATION RATIO: 2.30588
READ DURATION: 662, LAST WRITE DURATION: 326, R/W DURATION RATIO: 2.03067
READ DURATION: 608, LAST WRITE DURATION: 340, R/W DURATION RATIO: 1.78824
READ DURATION: 506, LAST WRITE DURATION: 333, R/W DURATION RATIO: 1.51952
READ DURATION: 2767, LAST WRITE DURATION: 332, R/W DURATION RATIO: 8.33434
READ DURATION: 867, LAST WRITE DURATION: 322, R/W DURATION RATIO: 2.69255
READ DURATION: 634, LAST WRITE DURATION: 315, R/W DURATION RATIO: 2.0127
READ DURATION: 2168, LAST WRITE DURATION: 367, R/W DURATION RATIO: 5.90736
READ DURATION: 533, LAST WRITE DURATION: 316, R/W DURATION RATIO: 1.68671
READ DURATION: 576, LAST WRITE DURATION: 356, R/W DURATION RATIO: 1.61798
READ DURATION: 919, LAST WRITE DURATION: 332, R/W DURATION RATIO: 2.76807
READ DURATION: 3606, LAST WRITE DURATION: 340, R/W DURATION RATIO: 10.6059
READ DURATION: 2315, LAST WRITE DURATION: 358, R/W DURATION RATIO: 6.46648
READ DURATION: 5228, LAST WRITE DURATION: 336, R/W DURATION RATIO: 15.5595
READ DURATION: 678, LAST WRITE DURATION: 404, R/W DURATION RATIO: 1.67822
READ DURATION: 508, LAST WRITE DURATION: 403, R/W DURATION RATIO: 1.26055
READ DURATION: 504, LAST WRITE DURATION: 372, R/W DURATION RATIO: 1.35484
READ DURATION: 682, LAST WRITE DURATION: 404, R/W DURATION RATIO: 1.68812
READ DURATION: 804, LAST WRITE DURATION: 416, R/W DURATION RATIO: 1.93269
READ DURATION: 1485, LAST WRITE DURATION: 368, R/W DURATION RATIO: 4.03533
READ DURATION: 8653, LAST WRITE DURATION: 506, R/W DURATION RATIO: 17.1008
READ DURATION: 1946, LAST WRITE DURATION: 340, R/W DURATION RATIO: 5.72353
READ DURATION: 6814, LAST WRITE DURATION: 324, R/W DURATION RATIO: 21.0309
READ DURATION: 2854, LAST WRITE DURATION: 362, R/W DURATION RATIO: 7.88398
READ DURATION: 1345, LAST WRITE DURATION: 794, R/W DURATION RATIO: 1.69395
READ DURATION: 3237, LAST WRITE DURATION: 442, R/W DURATION RATIO: 7.32353
READ DURATION: 822, LAST WRITE DURATION: 964, R/W DURATION RATIO: 0.852697
READ DURATION: 619, LAST WRITE DURATION: 432, R/W DURATION RATIO: 1.43287
READ DURATION: 714, LAST WRITE DURATION: 950, R/W DURATION RATIO: 0.751579
READ DURATION: 571, LAST WRITE DURATION: 562, R/W DURATION RATIO: 1.01601
READ DURATION: 524, LAST WRITE DURATION: 636, R/W DURATION RATIO: 0.823899
READ DURATION: 447, LAST WRITE DURATION: 570, R/W DURATION RATIO: 0.784211
READ DURATION: 383, LAST WRITE DURATION: 318, R/W DURATION RATIO: 1.2044
