[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/tc_road_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 646, LAST WRITE DURATION: 668, R/W DURATION RATIO: 0.967066
READ DURATION: 648, LAST WRITE DURATION: 882, R/W DURATION RATIO: 0.734694
READ DURATION: 640, LAST WRITE DURATION: 1264, R/W DURATION RATIO: 0.506329
READ DURATION: 682, LAST WRITE DURATION: 2487, R/W DURATION RATIO: 0.274226
READ DURATION: 640, LAST WRITE DURATION: 882, R/W DURATION RATIO: 0.725624
READ DURATION: 648, LAST WRITE DURATION: 1268, R/W DURATION RATIO: 0.511041
READ DURATION: 646, LAST WRITE DURATION: 1264, R/W DURATION RATIO: 0.511076
READ DURATION: 632, LAST WRITE DURATION: 882, R/W DURATION RATIO: 0.716553
READ DURATION: 688, LAST WRITE DURATION: 402, R/W DURATION RATIO: 1.71144
READ DURATION: 680, LAST WRITE DURATION: 890, R/W DURATION RATIO: 0.764045
READ DURATION: 678, LAST WRITE DURATION: 2743, R/W DURATION RATIO: 0.247175
READ DURATION: 646, LAST WRITE DURATION: 1140, R/W DURATION RATIO: 0.566667
READ DURATION: 648, LAST WRITE DURATION: 882, R/W DURATION RATIO: 0.734694
READ DURATION: 648, LAST WRITE DURATION: 1264, R/W DURATION RATIO: 0.512658
READ DURATION: 646, LAST WRITE DURATION: 1264, R/W DURATION RATIO: 0.511076
READ DURATION: 648, LAST WRITE DURATION: 754, R/W DURATION RATIO: 0.859416
READ DURATION: 2059, LAST WRITE DURATION: 532, R/W DURATION RATIO: 3.8703
READ DURATION: 680, LAST WRITE DURATION: 880, R/W DURATION RATIO: 0.772727
READ DURATION: 648, LAST WRITE DURATION: 1268, R/W DURATION RATIO: 0.511041
READ DURATION: 646, LAST WRITE DURATION: 1232, R/W DURATION RATIO: 0.524351
READ DURATION: 640, LAST WRITE DURATION: 882, R/W DURATION RATIO: 0.725624
READ DURATION: 648, LAST WRITE DURATION: 1268, R/W DURATION RATIO: 0.511041
READ DURATION: 646, LAST WRITE DURATION: 1264, R/W DURATION RATIO: 0.511076
READ DURATION: 624, LAST WRITE DURATION: 2133, R/W DURATION RATIO: 0.292546
READ DURATION: 648, LAST WRITE DURATION: 1052, R/W DURATION RATIO: 0.61597
